Customer_ID,Industry,Region,Invoice_Amount,Invoice_Date,Due_Date,Payment_Date,Days_Past_Due,Payment_Status
CUST0047,Manufacturing,Middle East,2326.66,2023-01-22,2023-03-08,2023-03-18,10,Late
CUST0048,Finance,Asia,17894.91,2023-10-10,2023-12-09,2023-12-29,20,Late
CUST0049,Manufacturing,Middle East,13544.02,2023-11-13,2024-01-12,2024-01-22,10,Late
CUST0050,Manufacturing,Middle East,3953.66,2023-08-08,2023-09-22,2023-11-06,45,Late
CUST0051,Finance,Europe,7718.09,2023-08-21,2023-09-20,2023-10-20,30,Late
CUST0052,Manufacturing,Europe,19349.77,2023-04-09,2023-05-09,2023-05-09,0,On-Time
CUST0053,Finance,North America,4222.77,2023-06-10,2023-08-09,2023-08-09,0,On-Time
CUST0054,Manufacturing,Europe,18755.02,2023-02-27,2023-04-28,2023-05-08,10,Late
CUST0055,IT Services,Middle East,13587.3,2023-05-31,2023-07-15,2023-07-15,0,On-Time
CUST0056,IT Services,Europe,6789.74,2023-04-14,2023-05-14,2023-05-14,0,On-Time
CUST0057,Finance,Europe,16282.54,2023-12-21,2024-02-04,2024-02-03,-1,On-Time
CUST0058,Finance,Middle East,10471.18,2023-11-09,2023-12-09,2023-12-09,0,On-Time
CUST0059,Healthcare,Asia,7090.91,2023-04-02,2023-05-17,2023-05-17,0,On-Time
CUST0060,Retail,North America,3523.31,2023-07-09,2023-08-08,2023-08-05,-3,On-Time
CUST0061,IT Services,Europe,5379.9,2023-06-19,2023-08-03,2023-08-03,0,On-Time
CUST0062,Retail,Middle East,6869.7,2023-09-21,2023-10-21,2023-10-21,0,On-Time
CUST0063,Healthcare,North America,9416.67,2023-09-19,2023-10-19,2023-10-19,0,On-Time
CUST0064,Retail,Asia,3197.89,2023-05-24,2023-06-23,2023-08-07,45,Late
CUST0065,IT Services,Europe,1300.82,2023-04-30,2023-06-29,2023-07-04,5,Late
CUST0066,IT Services,Asia,5391.78,2023-04-27,2023-06-11,2023-06-08,-3,On-Time
CUST0067,Manufacturing,Middle East,8474.58,2023-02-27,2023-04-13,2023-04-13,0,On-Time
CUST0068,IT Services,Middle East,11209.92,2023-02-17,2023-03-19,2023-03-29,10,Late
CUST0069,Finance,North America,19119.87,2023-07-11,2023-09-09,2023-09-14,5,Late
CUST0070,Finance,Asia,1430.46,2023-06-03,2023-08-02,2023-08-22,20,Late
CUST0071,Manufacturing,North America,2763.42,2023-03-10,2023-05-09,2023-05-09,0,On-Time
CUST0072,Healthcare,North America,9746.39,2023-08-06,2023-09-20,2023-09-25,5,Late
CUST0073,Healthcare,North America,9561.14,2023-12-23,2024-02-21,2024-02-21,0,On-Time
CUST0074,Finance,Middle East,1383.43,2023-08-11,2023-09-25,2023-10-05,10,Late
CUST0075,IT Services,Middle East,17201.55,2023-11-21,2023-12-21,2023-12-21,0,On-Time
CUST0076,IT Services,North America,17410.38,2023-06-09,2023-08-08,2023-08-05,-3,On-Time
CUST0077,Healthcare,Europe,11680.66,2023-02-02,2023-03-04,2023-03-01,-3,On-Time
CUST0078,Retail,North America,12705.82,2023-03-06,2023-04-05,2023-04-15,10,Late
CUST0079,Retail,Middle East,5842.24,2023-01-12,2023-03-13,2023-03-18,5,Late
CUST0080,Finance,Asia,12555.95,2023-08-03,2023-09-02,2023-09-12,10,Late
CUST0081,Finance,Europe,13791.47,2023-04-25,2023-05-25,2023-05-30,5,Late
CUST0082,IT Services,North America,7292.56,2023-03-16,2023-04-15,2023-04-15,0,On-Time
CUST0083,Manufacturing,North America,19367.82,2023-06-13,2023-07-28,2023-08-02,5,Late
CUST0084,Retail,North America,14767.13,2023-02-05,2023-03-22,2023-03-22,0,On-Time
CUST0085,Finance,Middle East,8865.38,2023-01-13,2023-03-14,2023-04-03,20,Late
CUST0086,Manufacturing,Europe,18099.78,2023-03-03,2023-04-02,2023-04-02,0,On-Time
CUST0087,Retail,Asia,8089.43,2023-08-21,2023-10-20,2023-10-20,0,On-Time
CUST0088,Healthcare,Europe,13697.01,2023-02-21,2023-04-22,2023-04-27,5,Late
CUST0089,Finance,North America,6217.61,2023-01-25,2023-03-26,2023-03-26,0,On-Time
CUST0090,Finance,Asia,15735.27,2023-02-08,2023-03-10,2023-04-09,30,Late
CUST0091,IT Services,Asia,19920.66,2023-05-02,2023-06-01,2023-06-21,20,Late
CUST0092,Finance,Asia,14263.71,2023-08-27,2023-09-26,2023-10-16,20,Late
CUST0093,Healthcare,North America,2471.89,2023-01-07,2023-02-21,2023-03-13,20,Late
CUST0094,IT Services,North America,16526.27,2023-05-02,2023-06-16,2023-06-16,0,On-Time
CUST0095,Finance,Europe,19739.47,2023-12-31,2024-01-30,2024-01-29,-1,On-Time
CUST0096,Manufacturing,Asia,18200.03,2023-10-28,2023-12-12,2024-01-01,20,Late
CUST0097,Retail,North America,7870.76,2023-06-16,2023-08-15,2023-08-15,0,On-Time
CUST0098,Retail,Asia,8971.81,2023-06-22,2023-07-22,2023-07-27,5,Late
CUST0099,IT Services,Middle East,2816.95,2023-11-13,2024-01-12,2024-01-22,10,Late
CUST0100,Manufacturing,Asia,11875.69,2023-07-09,2023-08-08,2023-08-13,5,Late
CUST0101,Manufacturing,North America,17437.68,2023-04-27,2023-06-11,2023-06-08,-3,On-Time
CUST0102,Finance,Middle East,11342.1,2023-10-30,2023-11-29,2023-11-29,0,On-Time
CUST0103,Finance,Asia,18422.76,2023-06-13,2023-08-12,2023-08-22,10,Late
CUST0104,Manufacturing,Europe,3741.2,2023-11-01,2023-12-16,2023-12-16,0,On-Time
CUST0105,Manufacturing,North America,14090.04,2023-09-16,2023-11-15,2023-11-15,0,On-Time
CUST0106,Healthcare,Europe,19033.02,2023-12-24,2024-01-23,2024-01-23,0,On-Time
CUST0107,Healthcare,Middle East,9542.12,2023-07-05,2023-08-19,2023-08-19,0,On-Time
CUST0108,Finance,North America,5569.02,2023-05-25,2023-06-24,2023-06-24,0,On-Time
CUST0109,Healthcare,North America,13852.26,2023-02-15,2023-04-16,2023-04-13,-3,On-Time
CUST0110,IT Services,Asia,14651.53,2023-10-30,2023-11-29,2023-12-04,5,Late
CUST0111,IT Services,Asia,1381.76,2023-04-29,2023-05-29,2023-06-18,20,Late
CUST0112,IT Services,Middle East,19713.08,2023-09-24,2023-10-24,2023-11-13,20,Late
CUST0113,Manufacturing,Europe,16668.7,2023-06-26,2023-07-26,2023-07-26,0,On-Time
CUST0114,Manufacturing,Asia,3110.12,2023-11-07,2023-12-22,2024-01-01,10,Late
CUST0115,Finance,Asia,15123.26,2023-09-16,2023-10-16,2023-10-26,10,Late
CUST0116,Finance,North America,15263.08,2023-03-24,2023-04-23,2023-04-23,0,On-Time
CUST0117,Manufacturing,Europe,5403.13,2023-06-22,2023-07-22,2023-07-22,0,On-Time
CUST0118,Manufacturing,North America,15261.48,2023-02-03,2023-04-04,2023-04-04,0,On-Time
CUST0119,IT Services,Europe,10646.0,2023-04-28,2023-06-27,2023-07-02,5,Late
CUST0120,Healthcare,North America,11262.18,2023-08-10,2023-10-09,2023-10-14,5,Late
CUST0121,Finance,North America,12967.55,2023-03-16,2023-05-15,2023-06-14,30,Late
CUST0122,Healthcare,Europe,7336.46,2023-04-08,2023-05-23,2023-05-28,5,Late
CUST0123,Retail,Asia,18131.09,2023-11-04,2023-12-04,2023-12-09,5,Late
CUST0124,Healthcare,Europe,12630.69,2023-02-20,2023-03-22,2023-04-21,30,Late
CUST0125,Healthcare,Europe,18568.46,2023-11-26,2023-12-26,2023-12-26,0,On-Time
CUST0126,Finance,Europe,12605.71,2023-07-24,2023-09-07,2023-09-17,10,Late
CUST0127,Retail,Asia,10976.64,2023-05-31,2023-07-30,2023-08-09,10,Late
CUST0128,Retail,Europe,14104.52,2023-12-26,2024-01-25,2024-01-24,-1,On-Time
CUST0129,Retail,Asia,13517.38,2023-03-02,2023-04-16,2023-04-16,0,On-Time
CUST0130,Finance,North America,7229.11,2023-06-19,2023-07-19,2023-07-19,0,On-Time
CUST0131,Manufacturing,North America,9485.19,2023-12-12,2024-01-26,2024-01-31,5,Late
CUST0132,IT Services,North America,6770.86,2023-10-09,2023-11-08,2023-11-13,5,Late
CUST0133,Retail,Asia,7857.08,2023-12-03,2024-01-17,2024-01-16,-1,On-Time
CUST0134,Manufacturing,Asia,4098.16,2023-07-26,2023-09-24,2023-09-29,5,Late
CUST0135,IT Services,Middle East,7693.82,2023-08-04,2023-09-18,2023-10-08,20,Late
CUST0136,Retail,Middle East,3095.78,2023-01-03,2023-03-04,2023-03-01,-3,On-Time
CUST0137,Retail,Asia,1094.21,2023-10-01,2023-11-15,2023-11-20,5,Late
CUST0138,Retail,Asia,2544.95,2023-04-29,2023-05-29,2023-05-29,0,On-Time
CUST0139,Manufacturing,North America,4623.24,2023-05-06,2023-06-05,2023-06-04,-1,On-Time
CUST0140,Healthcare,North America,13742.5,2023-03-08,2023-04-07,2023-04-12,5,Late
CUST0141,Healthcare,Asia,14868.04,2023-04-21,2023-05-21,2023-05-31,10,Late
CUST0142,IT Services,North America,7080.21,2023-06-29,2023-08-13,2023-08-23,10,Late
CUST0143,Retail,Middle East,10215.83,2023-08-17,2023-09-16,2023-09-16,0,On-Time
CUST0144,Finance,Europe,7624.46,2023-04-22,2023-06-06,2023-06-06,0,On-Time
CUST0145,Manufacturing,Asia,1506.89,2023-01-31,2023-03-02,2023-04-16,45,Late
CUST0146,IT Services,Middle East,19404.67,2023-01-04,2023-03-05,2023-03-02,-3,On-Time
CUST0147,Manufacturing,Europe,3832.31,2023-03-03,2023-04-02,2023-04-22,20,Late
CUST0148,Retail,Middle East,9794.08,2023-06-22,2023-07-22,2023-07-22,0,On-Time
CUST0149,Healthcare,Asia,4390.39,2023-01-20,2023-02-19,2023-02-24,5,Late
CUST0150,Manufacturing,Europe,15471.7,2023-02-07,2023-03-09,2023-03-14,5,Late
CUST0151,Healthcare,North America,10885.49,2023-06-10,2023-07-25,2023-07-25,0,On-Time
CUST0152,IT Services,North America,1735.81,2023-06-21,2023-08-05,2023-08-05,0,On-Time
CUST0153,IT Services,Middle East,5465.49,2023-04-11,2023-05-11,2023-05-31,20,Late
CUST0154,Retail,Asia,9695.74,2023-04-04,2023-06-03,2023-07-03,30,Late
CUST0155,Healthcare,Middle East,8466.11,2023-05-17,2023-07-01,2023-07-01,0,On-Time
CUST0156,Retail,North America,14951.85,2023-03-01,2023-03-31,2023-03-31,0,On-Time
CUST0157,Manufacturing,North America,4431.73,2023-10-13,2023-12-12,2023-12-12,0,On-Time
CUST0158,Finance,Asia,13471.35,2023-03-03,2023-04-02,2023-04-01,-1,On-Time
CUST0159,Manufacturing,Europe,16423.69,2023-10-22,2023-12-06,2023-12-05,-1,On-Time
CUST0160,Finance,Europe,11025.73,2023-03-04,2023-05-03,2023-05-13,10,Late
CUST0161,Manufacturing,North America,8133.9,2023-11-05,2024-01-04,2024-01-09,5,Late
CUST0162,Retail,Asia,14745.71,2023-02-11,2023-04-12,2023-04-11,-1,On-Time
CUST0163,Manufacturing,Middle East,14958.49,2023-06-06,2023-07-21,2023-08-10,20,Late
CUST0164,Finance,North America,15682.15,2023-10-16,2023-11-30,2023-11-30,0,On-Time
CUST0165,IT Services,Europe,10132.64,2023-11-26,2023-12-26,2023-12-26,0,On-Time
CUST0166,Finance,Asia,7887.02,2023-12-31,2024-02-29,2024-03-20,20,Late
CUST0167,Finance,North America,4970.4,2023-11-28,2023-12-28,2024-01-17,20,Late
CUST0168,Retail,Asia,11527.41,2023-10-09,2023-12-08,2023-12-18,10,Late
CUST0169,Healthcare,Asia,19201.96,2023-12-26,2024-02-09,2024-02-09,0,On-Time
CUST0170,IT Services,Europe,12491.53,2023-08-06,2023-09-05,2023-09-05,0,On-Time
CUST0171,IT Services,North America,5492.3,2023-04-14,2023-06-13,2023-07-13,30,Late
CUST0172,Healthcare,Middle East,14084.69,2023-10-20,2023-12-19,2023-12-19,0,On-Time
CUST0173,Healthcare,Asia,12330.94,2023-02-20,2023-03-22,2023-03-22,0,On-Time
CUST0174,Manufacturing,Europe,18258.38,2023-09-14,2023-10-29,2023-10-29,0,On-Time
CUST0175,IT Services,Europe,4133.26,2023-11-09,2023-12-09,2023-12-08,-1,On-Time
CUST0176,Retail,Middle East,12353.94,2023-11-05,2023-12-05,2023-12-05,0,On-Time
CUST0177,Manufacturing,North America,12272.57,2023-10-18,2023-12-17,2023-12-22,5,Late
CUST0178,IT Services,Asia,18497.72,2023-07-29,2023-09-27,2023-10-17,20,Late
CUST0179,Manufacturing,Middle East,4879.79,2023-12-30,2024-02-28,2024-02-28,0,On-Time
CUST0180,Manufacturing,Asia,3727.51,2023-12-10,2024-01-09,2024-01-14,5,Late
CUST0181,Retail,Europe,4791.9,2023-02-18,2023-04-19,2023-06-03,45,Late
CUST0182,Manufacturing,North America,11367.45,2023-12-08,2024-02-06,2024-03-22,45,Late
CUST0183,Manufacturing,Asia,12110.01,2023-05-21,2023-07-05,2023-07-25,20,Late
CUST0184,Retail,Middle East,18012.06,2023-02-01,2023-03-18,2023-03-18,0,On-Time
CUST0185,Finance,North America,9705.31,2023-01-19,2023-03-05,2023-03-05,0,On-Time
CUST0186,Retail,Asia,10789.13,2023-04-23,2023-06-07,2023-06-12,5,Late
CUST0187,Retail,Asia,2508.14,2023-09-21,2023-10-21,2023-10-21,0,On-Time
CUST0188,Retail,Middle East,5809.89,2023-06-11,2023-07-11,2023-07-11,0,On-Time
CUST0189,Healthcare,Middle East,14461.46,2023-12-15,2024-01-14,2024-01-24,10,Late
CUST0190,Retail,Middle East,4324.21,2023-09-12,2023-10-12,2023-10-22,10,Late
CUST0191,Manufacturing,Asia,11604.15,2023-02-20,2023-03-22,2023-04-01,10,Late
CUST0192,IT Services,Asia,5241.86,2023-03-19,2023-05-03,2023-04-30,-3,On-Time
CUST0193,Healthcare,Middle East,13527.66,2023-08-11,2023-10-10,2023-10-09,-1,On-Time
CUST0194,IT Services,Asia,14850.14,2023-03-26,2023-05-25,2023-05-25,0,On-Time
CUST0195,Retail,Middle East,13037.05,2023-03-23,2023-05-07,2023-06-06,30,Late
CUST0196,Finance,Middle East,7049.38,2023-07-14,2023-09-12,2023-09-12,0,On-Time
CUST0197,Healthcare,North America,7231.25,2023-09-13,2023-10-28,2023-11-02,5,Late
CUST0198,Finance,Middle East,4780.46,2023-12-08,2024-01-07,2024-01-06,-1,On-Time
CUST0199,Retail,Europe,9685.78,2023-08-12,2023-09-11,2023-09-16,5,Late
CUST0200,Manufacturing,Europe,14962.9,2023-08-25,2023-09-24,2023-09-24,0,On-Time
